experiment	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NAA10	3180	1	F09	empty-AD	0	3AT	2	0	165	122
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PLP1	4062	1	G09	CREB3L1	7617	3AT	2	2	13524	11282
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PLP1	4062	1	H09	PTPRN	4946	3AT	2	2	15147	10620
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PLP1	4062	1	A10	empty-AD	0	3AT	2	0	831	33
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	TPK1	14468	1	B10	TPK1	14468	3AT	2	4	17218	14645
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	TPK1	14468	1	C10	empty-AD	0	3AT	2	0	242	190
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	TPM1	11872	1	D10	MAD1L1	6811	3AT	2	0	18	0
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	TPM1	11872	1	E10	KXD1	4621	3AT	2	4	22792	19500
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	TPM1	11872	1	F10	empty-AD	0	3AT	2	0	452	369
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	TNFRSF13B	53089	1	G10	SGTA	3952	3AT	2	4	18428	15246
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	TNFRSF13B	53089	1	H10	empty-AD	0	3AT	2	0	138	106
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	SFTPA2	56023	1	A11	UBQLN2	71001	3AT	2	4	15364	13548
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	SFTPA2	56023	1	B11	empty-AD	0	3AT	2	0	85	51
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CRYBB1	10165	1	C11	GAS8	71876	3AT	2	4	19557	16390
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CRYBB1	10165	1	D11	AP1B1	100000476	3AT	2	3	141	8
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CRYBB1	10165	1	E11	empty-AD	0	3AT	2	0	25	0
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NFU1	53798	1	F11	COIL	6448	3AT	2	3	15320	12724
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NFU1	53798	1	G11	TFIP11	5894	3AT	2	4	16404	13666
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NFU1	53798	1	H11	empty-AD	0	3AT	2	2	365	180
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	KCTD1	14221	1	A12	KCTD1	14221	3AT	2	4	15845	13429
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	KCTD1	14221	1	B12	empty-AD	0	3AT	2	0	192	134
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PNPO	4515	1	C12	AGTRAP	7845	3AT	2	3	19367	16117
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PNPO	4515	1	D12	empty-AD	0	3AT	2	0	10881	5
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	XPA	7662	1	E12	PRDM16	100068259	3AT	2	3	15796	13495
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	XPA	7662	1	F12	NDEL1	1734	3AT	2	2	12459	10342
HsVcPPIP02a1	J37X7P_1_sample_1	O_DB	N_AD	ATP6V0C	6959	1	A01	MSR1	14311	3AT	3	3	24156	21795
HsVcPPIP02a1	J37X7P_1_sample_1	O_DB	N_AD	ATP6V0C	6959	1	B01	MCEMP1	71885	3AT	3	4	26173	23495
